alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,alpha10,day_-2_profit,day_-1_profit,day_0_profit,total_profit
-75,-75,-25,5,10,10,60,70,70,80,18405,19677,18854,56936
-80,-75,-35,5,10,10,60,70,70,80,18405,19677,18854,56936
-70,-65,-25,5,10,10,50,70,70,70,18396,19670,18869,56936
-70,-65,-35,5,10,10,50,70,70,70,18396,19670,18869,56936
-80,-65,-35,5,10,10,50,70,70,70,18396,19670,18869,56936
-75,-65,-15,5,10,10,50,70,70,70,18396,19670,18869,56936
-75,-65,-25,5,10,10,50,70,70,70,18396,19670,18869,56936
-75,-65,-35,5,10,10,50,70,70,70,18396,19670,18869,56936
-80,-65,-15,5,10,10,50,70,70,70,18396,19670,18869,56936
-80,-65,-25,5,10,10,50,70,70,70,18396,19670,18869,56936
-70,-65,-15,5,10,10,50,70,70,70,18396,19670,18869,56936
-70,-65,-35,-15,0,10,50,70,70,80,18419,19653,18862,56934
-80,-80,-15,-15,10,10,50,70,70,80,18457,19619,18858,56934
-70,-65,-25,-15,0,10,50,70,70,80,18419,19653,18862,56934
-80,-65,-25,-15,0,10,50,70,70,80,18419,19653,18862,56934
-75,-65,-25,-15,0,10,50,70,70,80,18419,19653,18862,56934
-75,-65,-35,-15,0,10,50,70,70,80,18419,19653,18862,56934
-80,-65,-35,-15,0,10,50,70,70,80,18419,19653,18862,56934
-80,-65,-15,-5,10,10,50,70,70,70,18396,19642,18892,56930
-75,-65,-15,-5,10,10,50,70,70,70,18396,19642,18892,56930
-70,-65,-15,-5,10,10,50,70,70,70,18396,19642,18892,56930
-80,-80,-35,5,10,10,60,70,70,80,18405,19677,18846,56928
-80,-80,-25,5,10,10,60,70,70,80,18405,19677,18846,56928
-80,-75,-15,-5,0,10,50,70,70,70,18428,19642,18858,56928
-75,-75,-15,-5,0,10,50,70,70,70,18428,19642,18858,56928
-80,-80,-15,-5,0,10,50,70,70,70,18428,19642,18858,56928
-80,-75,-15,-5,0,10,50,70,70,80,18457,19624,18840,56921
-80,-70,-15,-5,0,10,50,70,70,80,18457,19624,18840,56921
-75,-75,-15,-5,0,10,50,70,70,80,18457,19624,18840,56921
-75,-70,-15,-5,0,10,50,70,70,80,18457,19624,18840,56921
-70,-70,-15,-5,0,10,50,70,70,80,18457,19624,18840,56921
-75,-75,-25,5,10,10,60,70,70,70,18372,19691,18856,56919
-70,-70,-35,5,10,10,60,70,70,70,18372,19691,18856,56919
-75,-70,-25,5,10,10,60,70,70,70,18372,19691,18856,56919
-75,-70,-35,5,10,10,60,70,70,70,18372,19691,18856,56919
-70,-70,-25,5,10,10,60,70,70,70,18372,19691,18856,56919
-75,-75,-35,5,10,10,60,70,70,70,18372,19691,18856,56919
-80,-70,-35,5,10,10,60,70,70,70,18372,19691,18856,56919
-80,-75,-25,5,10,10,60,70,70,70,18372,19691,18856,56919
-80,-75,-35,5,10,10,60,70,70,70,18372,19691,18856,56919
-80,-70,-25,5,10,10,60,70,70,70,18372,19691,18856,56919
-80,-80,-35,-15,10,10,50,70,70,70,18428,19651,18839,56918
-80,-80,-25,-15,10,10,50,70,70,70,18428,19651,18839,56918
-80,-80,-15,-5,0,10,50,70,70,80,18457,19624,18836,56917
-75,-65,-15,-5,10,10,50,70,70,80,18419,19624,18872,56915
-70,-65,-15,-5,10,10,50,70,70,80,18419,19624,18872,56915
-80,-65,-15,-5,10,10,50,70,70,80,18419,19624,18872,56915
-70,-70,-25,-15,0,10,50,70,70,70,18428,19653,18834,56914
-70,-70,-35,-15,0,10,50,70,70,70,18428,19653,18834,56914
-80,-75,-35,-15,0,10,50,70,70,70,18428,19653,18834,56914
-75,-70,-35,-15,0,10,50,70,70,70,18428,19653,18834,56914
-75,-75,-25,-15,0,10,50,70,70,70,18428,19653,18834,56914
-75,-75,-35,-15,0,10,50,70,70,70,18428,19653,18834,56914
-80,-70,-25,-15,0,10,50,70,70,70,18428,19653,18834,56914
-80,-70,-35,-15,0,10,50,70,70,70,18428,19653,18834,56914
-80,-75,-25,-15,0,10,50,70,70,70,18428,19653,18834,56914
-75,-70,-25,-15,0,10,50,70,70,70,18428,19653,18834,56914
-70,-70,-25,-15,10,10,60,70,70,80,18405,19651,18858,56914
-80,-70,-25,-15,10,10,60,70,70,80,18405,19651,18858,56914
-80,-75,-35,-15,10,10,60,70,70,80,18405,19651,18858,56914
-80,-75,-25,-15,10,10,60,70,70,80,18405,19651,18858,56914
-80,-70,-35,-15,10,10,60,70,70,80,18405,19651,18858,56914
-70,-70,-35,-15,10,10,60,70,70,80,18405,19651,18858,56914
-75,-75,-35,-15,10,10,60,70,70,80,18405,19651,18858,56914
-75,-75,-25,-15,10,10,60,70,70,80,18405,19651,18858,56914
-75,-70,-35,-15,10,10,60,70,70,80,18405,19651,18858,56914
-75,-70,-25,-15,10,10,60,70,70,80,18405,19651,18858,56914
-80,-75,-15,5,10,10,60,70,70,80,18405,19653,18854,56912
-70,-65,-25,-5,0,10,50,70,70,80,18419,19647,18846,56912
-70,-65,-35,-5,0,10,50,70,70,80,18419,19647,18846,56912
-75,-65,-25,-5,0,10,50,70,70,80,18419,19647,18846,56912
-75,-65,-35,-5,0,10,50,70,70,80,18419,19647,18846,56912
-80,-65,-25,-5,0,10,50,70,70,80,18419,19647,18846,56912
-80,-65,-35,-5,0,10,50,70,70,80,18419,19647,18846,56912
-70,-70,-15,5,10,10,60,70,70,80,18405,19653,18854,56912
-75,-70,-15,5,10,10,60,70,70,80,18405,19653,18854,56912
-75,-75,-15,5,10,10,60,70,70,80,18405,19653,18854,56912
-80,-70,-15,5,10,10,60,70,70,80,18405,19653,18854,56912
-70,-65,-15,-15,0,10,50,70,70,80,18419,19631,18862,56912
-80,-75,-25,-5,10,10,60,70,70,70,18372,19661,18879,56912
-75,-70,-35,-5,10,10,60,70,70,70,18372,19661,18879,56912
-75,-65,-15,-15,0,10,50,70,70,80,18419,19631,18862,56912
-80,-70,-35,-5,10,10,60,70,70,70,18372,19661,18879,56912
-80,-70,-25,-5,10,10,60,70,70,70,18372,19661,18879,56912
-75,-75,-25,-5,10,10,60,70,70,70,18372,19661,18879,56912
-75,-75,-35,-5,10,10,60,70,70,70,18372,19661,18879,56912
-75,-70,-25,-5,10,10,60,70,70,70,18372,19661,18879,56912
-70,-70,-35,-5,10,10,60,70,70,70,18372,19661,18879,56912
-70,-70,-25,-5,10,10,60,70,70,70,18372,19661,18879,56912
-80,-65,-15,-15,0,10,50,70,70,80,18419,19631,18862,56912
-80,-75,-35,-5,10,10,60,70,70,70,18372,19661,18879,56912
-80,-80,-35,5,10,10,60,70,70,70,18372,19691,18848,56911
-80,-80,-25,5,10,10,60,70,70,70,18372,19691,18848,56911
-75,-75,-25,-5,10,10,60,70,70,80,18405,19647,18858,56910
-80,-70,-25,-5,10,10,60,70,70,80,18405,19647,18858,56910
-75,-75,-35,-5,10,10,60,70,70,80,18405,19647,18858,56910
-80,-75,-25,-5,10,10,60,70,70,80,18405,19647,18858,56910
-75,-70,-35,-5,10,10,60,70,70,80,18405,19647,18858,56910
-75,-70,-25,-5,10,10,60,70,70,80,18405,19647,18858,56910
-70,-70,-35,-5,10,10,60,70,70,80,18405,19647,18858,56910
-70,-70,-25,-5,10,10,60,70,70,80,18405,19647,18858,56910
-80,-70,-35,-5,10,10,60,70,70,80,18405,19647,18858,56910
-75,-65,-35,-15,10,10,50,70,70,70,18396,19651,18862,56910
-80,-75,-35,-5,10,10,60,70,70,80,18405,19647,18858,56910
-70,-65,-35,-15,10,10,50,70,70,70,18396,19651,18862,56910
-75,-65,-25,-15,10,10,50,70,70,70,18396,19651,18862,56910
-80,-65,-25,-15,10,10,50,70,70,70,18396,19651,18862,56910
-80,-65,-35,-15,10,10,50,70,70,70,18396,19651,18862,56910
-70,-65,-15,-15,10,10,50,70,70,80,18419,19619,18872,56910
-75,-65,-15,-15,10,10,50,70,70,80,18419,19619,18872,56910
-80,-65,-15,-15,10,10,50,70,70,80,18419,19619,18872,56910
-70,-65,-25,-15,10,10,50,70,70,70,18396,19651,18862,56910
-75,-70,-15,-15,10,10,50,70,70,70,18428,19619,18862,56908
-70,-70,-15,-15,10,10,50,70,70,70,18428,19619,18862,56908
-80,-70,-15,-15,10,10,50,70,70,70,18428,19619,18862,56908
