PEPPER_HISTORY_LENGTH,PEPPER_MUST_SELL_BUY_COEFF,PEPPER_ALPHA,day_-2_profit,day_-1_profit,day_0_profit,total_profit
59,0.36,8,101375,102203,102140,305718
49,0.41,13,101375,102260,102043,305678
199,0.42,16,101375,102221,101962,305558
99,0.34,13,101375,102216,101949,305540
39,0.345,6,101375,102295,101733,305403
44,0.37,10,101374,102336,102061,305771
49,0.39,12,101374,102257,102087,305718
49,0.38,12,101374,102242,102091,305707
39,0.375,15,101374,102177,102029,305580
69,0.42,16,101374,102197,101907,305478
29,0.34,6,101374,102325,101750,305449
39,0.36,7,101373,102290,101809,305472
39,0.35,6,101373,102287,101580,305240
99,0.44,17,101371,102148,101995,305514
39,0.44,16,101371,102141,101921,305433
399,0.34,18,101370,102139,101827,305336
129,0.32,9,101369,102337,102018,305724
49,0.4,13,101369,102266,101979,305614
129,0.36,16,101369,102193,101950,305512
39,0.32,5,101369,102274,101675,305318
29,0.37,9,101368,102273,102050,305691
39,0.39,12,101368,102233,101969,305570
299,0.3,10,101368,102102,101840,305310
39,0.33,13,101368,102043,101893,305304
19,0.34,8,101367,102270,101911,305548
39,0.34,15,101367,102088,101897,305352
44,0.39,12,101366,102244,102011,305621
129,0.4,17,101366,102142,102017,305525
99,0.32,6,101366,102327,101737,305430
99,0.34,7,101366,102185,101769,305320
39,0.44,17,101365,102174,101877,305416
39,0.365,15,101365,102127,101916,305408
44,0.36,11,101364,102285,102074,305723
99,0.34,11,101364,102303,102023,305690
129,0.34,12,101364,102258,102029,305651
129,0.3,10,101363,102332,101879,305574
69,0.44,15,101363,102248,101957,305568
199,0.3,12,101363,102291,101906,305560
99,0.3,9,101363,102281,101882,305526
99,0.3,10,101363,102266,101892,305521
49,0.44,17,101363,102144,101881,305388
129,0.46,18,101363,102189,101828,305380
39,0.375,13,101362,102253,102006,305621
39,0.365,12,101362,102296,101961,305619
29,0.38,11,101362,102245,101928,305535
44,0.35,8,101361,102312,102071,305744
69,0.44,16,101361,102242,102049,305652
19,0.38,10,101361,102250,101933,305544
59,0.4,13,101360,102248,102073,305681
34,0.36,11,101360,102229,102053,305642
39,0.44,18,101360,102077,101892,305329
39,0.365,8,101359,102336,101945,305640
129,0.42,17,101359,102183,101992,305534
299,0.3,12,101359,102286,101831,305476
69,0.46,16,101359,102318,101693,305370
39,0.48,16,101358,102287,101791,305436
69,0.34,11,101357,102279,102028,305664
39,0.37,8,101357,102262,101981,305600
44,0.36,12,101357,102191,102034,305582
34,0.39,11,101357,102254,101919,305530
69,0.34,6,101357,102202,101662,305221
99,0.34,8,101355,102317,102091,305763
29,0.36,11,101355,102234,102032,305621
34,0.41,12,101355,102245,102018,305618
39,0.32,13,101355,102037,101878,305270
39,0.46,19,101355,102082,101819,305256
49,0.4,15,101354,102213,101981,305548
129,0.44,20,101354,102196,101962,305512
39,0.4,15,101354,102160,101948,305462
59,0.34,6,101354,102121,101789,305264
49,0.33,11,101353,102284,102006,305643
34,0.38,10,101353,102338,101948,305639
99,0.38,13,101353,102284,101892,305529
39,0.33,14,101353,102037,101943,305333
399,0.38,20,101353,102065,101890,305308
49,0.36,9,101352,102291,102125,305768
99,0.36,10,101352,102270,102143,305765
129,0.28,5,101352,102177,101510,305039
34,0.37,9,101351,102348,101963,305662
39,0.32,8,101351,102286,101891,305528
44,0.34,13,101351,102172,101972,305495
39,0.37,15,101351,102171,101925,305447
129,0.32,11,101351,102197,101875,305423
39,0.42,13,101350,102303,101986,305639
29,0.48,15,101350,102304,101846,305500
19,0.42,12,101350,102225,101898,305473
129,0.34,20,101350,101892,101579,304821
69,0.38,12,101349,102260,102035,305644
39,0.39,14,101349,102205,102013,305567
49,0.42,17,101349,102095,101865,305309
44,0.4,12,101348,102284,102093,305725
129,0.36,11,101348,102231,101972,305551
29,0.46,16,101348,102182,101925,305455
29,0.48,17,101348,102231,101794,305373
99,0.32,7,101347,102388,102055,305790
129,0.34,15,101347,102215,101867,305429
129,0.42,19,101347,102190,101872,305409
69,0.32,5,101347,101967,101636,304950
44,0.37,13,101346,102179,101962,305487
49,0.38,15,101346,102261,101871,305478
39,0.4,16,101346,102089,101939,305374
29,0.34,14,101346,102063,101913,305322
59,0.36,9,101345,102293,102103,305741
69,0.36,10,101345,102309,101992,305646
99,0.42,16,101345,102242,102032,305619
39,0.42,16,101344,102173,101973,305490
99,0.46,16,101344,102307,101795,305446
69,0.46,17,101344,102286,101794,305424
29,0.32,14,101344,102018,101789,305151
299,0.26,6,101344,102094,101490,304928
199,0.26,8,101344,102029,101437,304810
19,0.34,6,101343,102128,101798,305269
59,0.34,12,101342,102235,102064,305641
44,0.38,11,101342,102226,102002,305570
69,0.38,9,101342,102219,101923,305484
19,0.34,12,101342,102179,101875,305396
69,0.46,21,101342,102075,101861,305278
129,0.42,16,101341,102227,101949,305517
39,0.38,16,101341,102186,101901,305428
69,0.48,17,101341,102314,101765,305420
129,0.4,18,101341,102163,101804,305308
399,0.34,16,101341,102151,101734,305226
39,0.44,19,101340,101990,101798,305128
59,0.32,10,101339,102254,102017,305610
34,0.33,9,101339,102246,101998,305583
49,0.38,16,101339,102202,101910,305451
49,0.35,12,101338,102235,102013,305586
129,0.32,7,101338,102383,101722,305443
34,0.35,6,101338,102263,101535,305136
44,0.39,13,101337,102247,102048,305632
69,0.36,14,101337,102334,101946,305617
39,0.37,13,101337,102211,102003,305551
39,0.41,15,101337,102236,101938,305511
39,0.36,12,101337,102198,101961,305496
34,0.36,12,101337,102200,101958,305495
99,0.48,17,101337,102307,101818,305462
39,0.335,14,101337,102060,101958,305355
129,0.48,18,101337,102198,101770,305305
39,0.38,15,101336,102136,101998,305470
299,0.34,18,101336,102106,101899,305341
39,0.38,10,101335,102355,102078,305768
49,0.36,14,101335,102291,101996,305622
99,0.4,14,101335,102237,101943,305515
69,0.48,18,101335,102256,101851,305442
39,0.36,14,101335,102153,101952,305440
34,0.33,11,101334,102178,101946,305458
99,0.44,19,101334,102126,101988,305448
34,0.32,6,101334,102351,101709,305394
39,0.335,13,101333,102085,101971,305389
49,0.32,14,101333,102041,101916,305290
129,0.46,17,101332,102287,101725,305344
129,0.32,14,101332,102176,101820,305328
49,0.42,13,101331,102255,101962,305548
44,0.32,12,101331,102160,101919,305410
69,0.3,5,101331,102146,101768,305245
99,0.32,8,101330,102368,102015,305713
39,0.36,11,101330,102284,102044,305658
49,0.42,16,101330,102200,101823,305353
44,0.35,7,101329,102238,101966,305533
34,0.34,10,101328,102251,101984,305563
34,0.37,13,101328,102161,101995,305484
39,0.365,13,101328,102142,102013,305483
39,0.37,14,101328,102188,101965,305481
129,0.46,20,101328,102192,101922,305442
39,0.375,14,101328,102142,101971,305441
44,0.34,6,101328,102269,101813,305410
39,0.34,14,101328,102055,102000,305383
39,0.345,14,101328,102055,101957,305340
44,0.32,10,101327,102252,102082,305661
29,0.34,9,101327,102269,102028,305624
44,0.35,12,101327,102274,102009,305610
39,0.46,18,101327,102218,101892,305437
129,0.42,18,101327,102183,101868,305378
129,0.3,14,101327,102186,101811,305324
39,0.34,17,101327,101986,101658,304971
39,0.36,8,101326,102320,102058,305704
29,0.35,10,101326,102267,102026,305619
29,0.35,11,101326,102214,102029,305569
34,0.36,7,101326,102288,101762,305376
129,0.44,19,101326,102171,101872,305369
129,0.38,18,101326,102169,101851,305346
34,0.33,13,101326,102022,101923,305271
29,0.41,12,101325,102285,102094,305704
299,0.34,16,101325,102180,101965,305470
69,0.42,17,101325,102169,101914,305408
69,0.46,20,101325,102196,101845,305366
69,0.38,11,101324,102305,102025,305654
69,0.48,19,101324,102174,101960,305458
129,0.48,19,101324,102228,101828,305380
69,0.42,19,101324,102137,101808,305269
39,0.28,5,101324,101975,101414,304713
44,0.34,10,101323,102357,102026,305706
99,0.44,16,101323,102221,101899,305443
99,0.3,16,101323,102000,101572,304895
299,0.38,18,101322,102270,102058,305650
49,0.34,13,101322,102284,101956,305562
39,0.355,13,101322,102152,101982,305456
129,0.4,19,101322,102211,101867,305400
99,0.38,11,101321,102230,102029,305580
39,0.34,11,101321,102158,102014,305493
44,0.33,12,101321,102167,101989,305477
39,0.385,14,101321,102188,101962,305471
129,0.44,16,101321,102271,101812,305404
39,0.34,13,101321,102085,101972,305378
39,0.345,15,101321,102088,101943,305352
49,0.4,17,101321,102146,101883,305350
39,0.355,15,101321,102055,101923,305299
39,0.325,13,101321,102069,101878,305268
99,0.3,12,101321,102121,101754,305196
39,0.46,20,101321,102046,101790,305157
44,0.32,8,101320,102348,101950,305618
49,0.35,7,101320,102203,102013,305536
99,0.4,18,101320,102219,101873,305412
39,0.325,14,101320,102041,101820,305181
69,0.34,14,101319,102134,101995,305448
69,0.44,20,101319,102155,101863,305337
129,0.36,17,101319,102195,101815,305329
69,0.4,17,101319,102158,101836,305313
19,0.3,10,101319,102112,101786,305217
39,0.37,9,101318,102340,102073,305731
39,0.375,9,101318,102312,102076,305706
199,0.34,18,101318,102073,101633,305024
49,0.33,10,101317,102230,102075,305622
39,0.355,12,101317,102218,101990,305525
29,0.38,13,101317,102193,101928,305438
39,0.42,15,101317,102153,101960,305430
69,0.4,18,101317,102152,101851,305320
34,0.34,13,101317,102058,101922,305297
99,0.36,9,101316,102302,102111,305729
29,0.39,11,101316,102244,102010,305570
29,0.36,7,101316,102194,101903,305413
69,0.3,7,101316,102238,101853,305407
39,0.35,15,101316,102083,101887,305286
39,0.35,11,101315,102239,102067,305621
39,0.335,12,101315,102217,102020,305552
29,0.32,8,101315,102197,101903,305415
19,0.34,14,101315,102178,101871,305364
39,0.325,12,101315,102152,101883,305350
129,0.48,21,101315,102083,101937,305335
49,0.46,15,101315,102271,101708,305294
129,0.32,17,101315,101998,101881,305194
39,0.44,20,101315,102040,101714,305069
129,0.32,18,101315,101954,101735,305004
49,0.33,12,101314,102296,102061,305671
34,0.32,7,101314,102339,101954,305607
34,0.37,8,101314,102284,101970,305568
129,0.46,19,101314,102197,101885,305396
69,0.3,6,101314,102277,101718,305309
129,0.3,15,101314,102156,101831,305301
129,0.34,17,101314,102168,101710,305192
29,0.38,10,101313,102273,102080,305666
29,0.37,8,101313,102163,102004,305480
44,0.36,7,101313,102282,101845,305440
299,0.3,16,101313,102266,101816,305395
29,0.34,15,101313,101997,101991,305301
399,0.3,18,101313,102082,101777,305172
39,0.46,21,101313,101987,101657,304957
44,0.36,13,101312,102213,102000,305525
99,0.48,18,101312,102259,101800,305371
39,0.46,17,101312,102195,101853,305360
399,0.26,10,101312,102252,101634,305198
59,0.34,11,101311,102275,102101,305687
69,0.32,10,101311,102298,102009,305618
199,0.38,14,101311,102146,102000,305457
129,0.44,18,101310,102219,102025,305554
49,0.34,14,101310,102110,101964,305384
29,0.35,6,101310,102134,101648,305092
29,0.4,12,101309,102222,102040,305571
39,0.48,18,101309,102225,101948,305482
19,0.38,14,101309,102114,101934,305357
129,0.48,20,101309,102164,101815,305288
19,0.38,8,101309,102052,101759,305120
